Pal 14	242.752500	14.957778	28.746	42.192	73.58	1.63	68.55	1.56	72.30	0.14	-0.458	0.038	-0.414	0.037	0.23	-39.62	1.06	26.22	0.58	49.42	1.09	-99.22	9.79	77.43	12.14	122.42	9.68	3.75	0.92	500.00	0.00
Lynga 7	242.765213	-55.317776	328.769	-2.797	7.90	0.16	4.35	0.03	17.86	0.83	-3.836	0.061	-7.071	0.053	0.19	1.43	0.14	-4.09	0.08	-0.39	0.01	125.71	1.32	1.23	1.90	-89.33	2.11	1.79	0.07	4.38	0.08
NGC 6093	244.260040	-22.976084	352.673	19.463	10.34	0.12	3.95	0.08	10.93	0.39	-2.937	0.010	-5.577	0.010	-0.33	-1.49	0.11	-1.24	0.01	3.44	0.04	-9.10	0.40	-48.78	0.48	-62.97	0.47	0.87	0.07	4.07	0.07
NGC 6121	245.896744	-26.525749	350.973	15.972	1.85	0.02	6.45	0.01	71.22	0.13	-12.511	0.007	-19.017	0.007	-0.21	6.42	0.02	-0.28	0.00	0.51	0.00	-56.21	0.13	45.28	0.06	-3.04	0.07	0.62	0.07	6.52	0.13
NGC 6101	246.450485	-72.202194	317.746	-15.825	14.45	0.19	10.36	0.15	366.33	0.32	1.760	0.012	-0.252	0.012	0.07	-2.11	0.13	-9.35	0.12	-3.94	0.05	-297.01	0.63	83.88	0.67	-190.08	0.81	10.19	0.13	35.74	1.11
NGC 6144	246.807770	-26.023500	351.929	15.701	8.15	0.13	2.50	0.02	194.79	0.58	-1.737	0.017	-2.624	0.016	-0.22	0.41	0.12	-1.10	0.02	2.21	0.03	-184.47	0.58	106.09	0.63	43.41	0.63	1.89	0.10	3.11	0.05
NGC 6139	246.918466	-38.848782	342.366	6.939	10.04	0.45	3.51	0.28	24.41	0.95	-6.083	0.012	-2.705	0.012	-0.05	-1.32	0.43	-3.02	0.14	1.21	0.05	68.39	0.91	-29.37	0.63	130.82	0.59	1.32	0.23	3.58	0.30
Terzan 3	247.162483	-35.339829	345.084	9.199	7.64	0.31	2.46	0.02	-135.76	0.57	-5.578	0.019	-1.748	0.018	-0.04	0.89	0.30	-1.94	0.08	1.22	0.05	181.97	0.58	113.20	0.65	89.05	0.67	2.40	0.05	2.88	0.08
NGC 6171	248.132752	-13.053778	3.373	23.011	5.63	0.08	3.74	0.04	-34.71	0.18	-1.936	0.007	-5.979	0.007	-0.02	3.00	0.07	0.30	0.00	2.20	0.03	-10.30	0.18	93.71	0.18	-57.70	0.18	1.21	0.03	3.83	0.03
ESO 452-SC11	249.854167	-28.399167	351.909	12.098	7.39	0.20	2.12	0.05	16.75	0.44	-1.437	0.024	-6.471	0.022	-0.25	1.03	0.19	-1.02	0.03	1.55	0.04	-20.80	0.48	43.24	0.80	-94.85	0.81	0.35	0.10	2.37	0.13
NGC 6205	250.421814	36.459862	59.007	40.913	7.42	0.08	8.64	0.04	-244.90	0.30	-3.138	0.006	-2.572	0.006	0.23	5.29	0.03	4.81	0.05	4.86	0.05	30.36	0.24	-14.96	0.26	-77.75	0.26	1.51	0.01	8.73	0.04
NGC 6229	251.745249	47.527796	73.639	40.306	30.11	0.47	29.45	0.44	-137.89	0.71	-1.156	0.017	-0.461	0.018	0.17	1.71	0.10	22.03	0.34	19.47	0.30	-7.59	2.53	30.75	1.77	45.79	1.93	1.43	0.20	30.36	0.40
NGC 6218	251.809067	-1.948528	15.715	26.313	5.11	0.05	4.57	0.02	-41.67	0.14	-0.198	0.005	-6.804	0.005	0.13	3.77	0.04	1.24	0.01	2.26	0.02	-49.03	0.14	114.68	0.13	-85.24	0.13	2.15	0.02	4.71	0.01
FSR 1735	253.044174	-47.058056	339.188	-1.853	9.08	0.53	3.25	0.22	-69.85	4.88	-4.570	0.054	-1.515	0.046	-0.11	-0.31	0.49	-3.23	0.19	-0.29	0.02	113.12	4.59	111.87	2.63	120.05	2.20	1.13	0.14	4.12	0.39
NGC 6235	253.355676	-22.177447	358.918	13.518	11.94	0.38	4.42	0.33	126.68	0.33	-3.942	0.032	-7.602	0.031	-0.13	-3.43	0.37	-0.22	0.01	2.79	0.09	-144.47	0.52	-227.91	1.76	-43.18	1.72	3.50	0.38	7.49	1.09
NGC 6254	254.287720	-4.100306	15.137	23.076	5.07	0.06	4.35	0.03	74.21	0.23	-4.763	0.011	-6.611	0.011	-0.07	3.68	0.06	1.22	0.02	1.99	0.03	-122.90	0.24	80.21	0.26	48.71	0.26	1.91	0.02	4.60	0.04
NGC 6256	254.886107	-37.120968	347.792	3.307	7.24	0.29	1.94	0.11	-99.75	0.66	-3.685	0.019	-1.634	0.018	-0.14	1.11	0.29	-1.53	0.06	0.42	0.02	115.73	0.66	154.69	0.63	66.43	0.64	1.42	0.22	2.18	0.03
Pal 15	254.962600	-0.539000	18.849	24.337	44.10	1.14	37.28	1.10	72.27	1.74	-0.601	0.035	-0.855	0.029	-0.06	-29.85	0.98	12.98	0.33	18.17	0.47	-136.67	3.47	65.03	6.22	53.59	6.41	1.52	0.53	49.66	1.48
NGC 6266	255.304153	-30.113390	353.575	7.318	6.03	0.09	2.46	0.07	-73.98	0.67	-5.030	0.031	-3.004	0.031	-0.05	2.24	0.09	-0.67	0.01	0.77	0.01	87.09	0.68	106.94	0.89	59.64	0.89	1.08	0.06	2.69	0.07
